,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
62,Aziz Ansari: Buried Alive,2013,N/A,01 Nov 2013,80 min,"Documentary, Comedy","Will Lovelace, Dylan Southern",Aziz Ansari,Aziz Ansari,"Aziz Ansari focuses his unique viewpoint on pending adulthood, babies, marriage and love in the modern era.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNzAyNTYyODI5Nl5BMl5BanBnXkFtZTgwMzkwMzY1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.3,"3,343",tt2836450,movie,01 Nov 2013,N/A,Netflix,N/A,True,,
63,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
64,Power Rangers: Megaforce: Raising Spirits,2013,N/A,N/A,24 min,N/A,N/A,N/A,N/A,"On Halloween, the scariest night of the year, the Rangers have a strange encounter with a mysterious medium who conjures ""visions"" of monsters past.",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt6999076,movie,N/A,N/A,N/A,N/A,True,,
65,Russell Peters: Notorious,2013,N/A,14 Oct 2013,71 min,Comedy,David Higby,Russell Peters,Russell Peters,"Global comedy star Russell Peters leaves no ethnic or cultural stereotype unstrapped in this outrageous stand-up appearance in Sydney, Australia.","English, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BOGI4MDYzYTEtYTMwMi00YjM0LTk5Y2EtOTIyMDM3ZmZmYmY2XkEyXkFqcGdeQXVyMjkxMTM1Njc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"1,272",tt3295244,movie,14 Oct 2013,N/A,Netflix,N/A,True,,
66,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
67,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
68,Power Rangers Lightspeed Rescue,2000–2001,TV-Y7,12 Feb 2000,30 min,"Action, Adventure, Drama, Family, Fantasy, Sci-Fi",N/A,N/A,"Michael Chaturantabut, Sean Cw Johnson, Alison MacInnis, Keith Robinson","Five extraordinary teens carry on the legacy as the Lightspeed Power Rangers, the newest and most powerful team of champions ever, dedicated to fighting evil and protecting all that is good...",English,"France, Japan, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTM5NDQ0NjAyMl5BMl5BanBnXkFtZTcwNTMxMjAyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"1,492",tt0212686,series,,,,,True,N/A,
69,Power Rangers Wild Force,2002–2003,TV-Y7,09 Feb 2002,30 min,"Action, Adventure, Drama, Family, Fantasy, Sci-Fi",N/A,N/A,"Ricardo Medina Jr., Alyson Sullivan, Phillip Jeanmarie, Jessica Rey","Five teenagers are chosen by five Power Animals to become the Wild Force Rangers, to fight the evil Jinderax and Toxica and their evil Orgs.",English,"USA, Netherlands, Japan, France",N/A,https://m.media-amazon.com/images/M/MV5BMjA5MzM5ODQzMl5BMl5BanBnXkFtZTYwMzk4NDk5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"1,922",tt0287871,series,,,,,True,1,
70,Power Rangers Jungle Fury,2008,TV-Y7,18 Feb 2008,22 min,"Action, Adventure, Fantasy",N/A,N/A,"Jason Smith, Anna Hutchison, Aljin Abella, David de Lautour",Three teenagers from the Pai Zhug Kung Fu Academy are chosen to fight the forces of an opposing academy and all other forces of evil.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTg3MzM1MTY4OF5BMl5BanBnXkFtZTcwNzE0NTkxMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"1,337",tt1121628,series,,,,,True,1,
71,Power Rangers R.P.M.,2009,TV-Y7,07 Mar 2009,22 min,"Action, Adventure, Comedy, Drama, Family, Sci-Fi",N/A,N/A,"Eka Darville, Ari Boyland, Rose McIver, Milo Cawthorne","In the near future, the mysterious and sinister Venjix Computer Network is attempting to conquer and lay ruin to the entire planet. Mankind has retreated into environmentally-shielded domed...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQ1MzU4NDU2NF5BMl5BanBnXkFtZTcwMjQ0ODQ2Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"1,379",tt1304612,series,,,,,True,1,
72,Power Rangers in Space,1998–1999,TV-Y7,06 Feb 1998,30 min,"Action, Adventure, Family, Sci-Fi",N/A,N/A,"Tracy Lynn Cruz, Patricia Ja Lee, Roger Velasco, Christopher Khayman Lee","The most evil forces of the universe (Rita & Zedd, the Machine Empire and Divatox) have formed an alliance with the monarch of all evil, Dark Specter. With Zordon as his prisoner, Dark ...",English,"USA, France, Japan",N/A,https://m.media-amazon.com/images/M/MV5BMTM1NTUwNTcwMV5BMl5BanBnXkFtZTcwNTcyNzYxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"2,492",tt0120575,series,,,,,True,1,
73,Power Rangers Mystic Force,2006,TV-Y7,20 Feb 2006,22 min,"Action, Adventure, Fantasy",N/A,N/A,"Firass Dirani, Angie Diaz, Richard Brancatisano, Melanie Vallejo","Legend says when the darkness arises, five brave teen sorcerers will be called to fight for the planet's survival - with the guidance from their wise mentor and the ancient Xenotome, book ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQ5Mzk4NDg2MF5BMl5BanBnXkFtZTgwOTIyMDAxMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"1,988",tt0451469,series,,,,,True,1,
74,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
75,Power Rangers Operation Overdrive,2007,TV-Y7,26 Feb 2007,22 min,"Action, Adventure, Sci-Fi",N/A,N/A,"James McFay, Caitlin Murphy, Samuell Benta, Rhoda Montemayor","Five teenagers must locate and secure ancient relics with unbelievable power, while at the same time stop a demonic corporation who want the relics for their power.",English,"USA, New Zealand, Japan",N/A,https://m.media-amazon.com/images/M/MV5BMjE2NzMwMjIyN15BMl5BanBnXkFtZTgwOTI1NzkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,"1,061",tt0784920,series,,,,,True,1,
76,Power Rangers Lost Galaxy,1999–2000,TV-Y7,06 Feb 1999,30 min,"Action, Adventure, Fantasy, Sci-Fi, Thriller",N/A,N/A,"Archie Kao, Reggie Rolle, Danny Slavin, Cerina Vincent",Power-Packed Adventure! Action-Packed Fun! A time in the future. The space colony Terra Venture journeys beyond Earth in search of new worlds. Peace reigns throughout the cosmos...or does ...,English,"USA, France, Japan",N/A,https://m.media-amazon.com/images/M/MV5BMjA0NTE0MTU2Nl5BMl5BanBnXkFtZTcwMzk3NzAzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"1,775",tt0175059,series,,,,,True,1,
77,V.R. Troopers,1994–1996,TV-Y7,01 Mar 1994,30 min,"Action, Adventure, Family, Sci-Fi",N/A,N/A,"Michael Hollander, Michael Sorich, David Carr, Gardner Baldwin","Industrialist Carl Ziktor's virtual alter-ego Grimlord worked on the creation of an army made of warrior robots. And, before he became missing for two years, Ryan Steel's father worked with...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjEyMTg0NzA2MV5BMl5BanBnXkFtZTcwNTUwNTYyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,854,tt0108978,series,,,,,True,2,
78,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
79,Power Rangers Turbo,1997–1998,TV-Y7,19 Apr 1997,30 min,"Action, Family, Adventure, Fantasy, Sci-Fi, Thriller",N/A,N/A,"Blake Foster, Gregg Bullock, Carol Hoyt, Donene Kistler",Divatox has begun her invasion on Earth and the Power Rangers trade in their Zeo crystal powers for Turbo technology powers to combat this new threat.,English,"USA, France, Japan",N/A,https://m.media-amazon.com/images/M/MV5BNDE4MDA2NTU5MV5BMl5BanBnXkFtZTgwNTEyMzgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,"1,612",tt0118436,series,,,,,True,1,
80,Power Rangers Zeo,1996–1997,TV-Y7,20 Apr 1996,21 min,"Action, Adventure, Family, Fantasy, Sci-Fi",N/A,N/A,"Catherine Sutherland, Nakia Burrise, Steve Cardenas, Johnny Yong Bosch","Tommy, Billy, Adam, Rocky, Kat and Tanya are turned back to their teenage forms thanks to the Zeo Crystal. The Command Center is gone but the crystal leads them to the new Power Chamber and all but Billy take on new Zeo powers.",English,"USA, France, Japan",N/A,https://m.media-amazon.com/images/M/MV5BMTQ2Nzk5MzU2Nl5BMl5BanBnXkFtZTgwMjc3MzgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,888",tt0115319,series,,,,,True,1,
81,Oscar's Oasis,2011–,N/A,N/A,N/A,"Animation, Adventure, Comedy",N/A,Benjamin Townsend,"Martial Le Minoux, Jeremy Prevost","Follows the sun-baked adventures of Oscar, a lizard in the middle of the desert finding himself misadventures wherever he goes, from finding water to fleeing from a band of misfits.",English,France,N/A,https://m.media-amazon.com/images/M/MV5BMWFkODUwYTMtOTMzNS00YWE5LTk5MDQtZmU0ZDRmZWM3YzExXkEyXkFqcGdeQXVyMTcwMjMzNTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,367,tt2080922,series,,,,,True,1,
82,Power Rangers Ninja Storm,2003–2004,TV-Y7,15 Feb 2003,30 min,"Action, Adventure, Sci-Fi",N/A,N/A,"Pua Magasiva, Sally Martin, Glenn McMillan, Jason Chan","Three rebellious students are the last ones remaining at their ninja academy after evil aliens attack the Earth. With mankind at the brink of destruction, the fate of the world lies in the ...",English,"USA, New Zealand",N/A,https://m.media-amazon.com/images/M/MV5BYWEzMzdkMzktNGFiNi00NDYyLTkxMGMtMGMwNTNjOTRiNjlhXkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"2,041",tt0312189,series,,,,,True,1,
83,Ninja Turtles: The Next Mutation,1997–1998,TV-Y7,12 Sep 1997,20 min,"Action, Adventure, Comedy, Family, Sci-Fi",N/A,N/A,"Jarred Blancard, Mitchell A. Lee Yuen, Dean Choe, Richard Yee","In this live-action TV series, the Turtles are older than in the movies or cartoon, and are joined by a fifth, female Turtle. ""Venus De Milo"" mutated with the other 4 Turtles but was washed...",English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BNDZiM2IzMWYtMTRmOC00M2NlLTliZmQtYTQ1NzBhODllY2IwXkEyXkFqcGdeQXVyMjMxMDM2NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,"1,231",tt0127388,series,,,,,True,1,
84,Power Rangers S.P.D.,2005,TV-Y7,05 Feb 2005,22 min,"Action, Adventure, Sci-Fi",N/A,N/A,"Brandon Jay McLaren, Chris Violette, Matt Sadowski, Monica May","Fifteen years into the future, Earth has welcomed alien beings to live with humans. But peace is short lived, as a planet conquering alien force turns its destructive attention to Earth! ...",English,"USA, New Zealand",N/A,https://m.media-amazon.com/images/M/MV5BMTc5OTI1MDA4OV5BMl5BanBnXkFtZTcwMTk0ODQzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"1,828",tt0414762,series,,,,,True,1,
85,Mighty Morphin Power Rangers,1993–1999,TV-Y7,28 Aug 1993,30 min,"Action, Adventure, Family, Fantasy, Sci-Fi",N/A,"Shuki Levy, Haim Saban","Richard Steven Horvitz, David Yost, Ed Neil, David J. Fielding","A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.",English,"USA, Japan",3 nominations.,https://m.media-amazon.com/images/M/MV5BMTcwNjEyNDg4MV5BMl5BanBnXkFtZTgwMjg2NTkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"19,428",tt0106064,series,,,,,True,3,
86,Power Rangers Time Force,2001,TV-Y7,03 Feb 2001,30 min,"Action, Adventure, Crime, Drama, Family, Sci-Fi",N/A,N/A,"Jason Faunt, Kevin Kleinberg, Michael Copon, Erin Cahill","When a crimelord from the year 3000 finds that times are too tough, he goes back in time to 2001. And the Power Rangers of year 3000 come back to battle him. Things only get crazier when ...",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYzI0ODEwNGMtNzNlOS00MzdiLWJkMGQtMWJkZTVlMDAyY2M4XkEyXkFqcGdeQXVyNjA0NTc2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"1,887",tt0256278,series,,,,,True,1,
87,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
88,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
89,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
90,Jackass: The Movie,2002,R,25 Oct 2002,87 min,"Documentary, Action, Comedy",Jeff Tremaine,"Jeff Tremaine (concepts by), Spike Jonze (concepts by), Johnny Knoxville (concepts by), Bam Margera (concepts by), Steve-O (concepts by), Preston Lacy (concepts by), Chris Pontius (concepts by), Dave England (concepts by), Ryan Dunn (concepts by), Ehren McGhehey (concepts by), Brandon DiCamillo (concepts by), Dimitry Elyashkevich (concepts by), Whitey McConnaughy (concepts by), Sean Cliver (concepts by), Loomis Fall (concepts by), Tim Payne (concepts by), Anne Zogby (concepts by), Phil Clapp (concepts by), Vernon Chatman (concepts by)","Johnny Knoxville, Bam Margera, Steve-O, Chris Pontius",Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time.,English,USA,1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BOTgwMmU0YzktOGNhNi00MDcyLTg1OGEtZGQwM2RlMTAyYzhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.6,"78,636",tt0322802,movie,25 Mar 2003,"$64,209,101",Paramount Pictures,N/A,True,,
91,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
92,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
93,Meine Freundin Conni,2012–,N/A,N/A,N/A,"Documentary, Animation, Biography, Comedy, Family",N/A,N/A,"Kerstin Draeger, Christian Rudolf, Betti Lott, Selina Böttcher","Conni is a five year old girl having little adventures in everyday life. She experiences her first sleepover, goes to the hairdresser or celebrates festivities with her family or in kindergarten.",German,Germany,N/A,https://m.media-amazon.com/images/M/MV5BNTk3MDQyNjU2NF5BMl5BanBnXkFtZTgwOTAxNzAxMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,28,tt2194356,series,,,,,True,2,
94,Iliza Shlesinger: War Paint,2013,Not Rated,01 Jan 2013,75 min,Comedy,Jay Chapman,Iliza Shlesinger,Iliza Shlesinger,"Her innocent good looks are just a cover for Last Comic Standing winner Iliza Shlesinger's acerbic, stream-of-conscious comedy that she unleashes on an unsuspecting audience in her hometown of Dallas in her stand-up special ""War Paint.""",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjE0OTMxODYxNF5BMl5BanBnXkFtZTgwODgxOTE3NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,619",tt2836376,movie,01 Sep 2013,N/A,N/A,N/A,True,,
95,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
96,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
97,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
98,Reincarnated,2012,R,22 Mar 2013,96 min,"Documentary, Music",Andy Capper,N/A,"Theocracy Reign Ivine Order of the Nyahbinghi, Dr. Dre, Daz Dillinger, Angela Hunte","Hip-Hop artist Snoop Dogg changes his name to Snoop Lion, travels to Jamaica, immerses himself in Rastafarian culture, and produces his first reggae record.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTUxNDgzNDY2OV5BMl5BanBnXkFtZTcwMzE4MTMyOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.2,"2,272",tt2312602,movie,15 Apr 2013,N/A,AEC,N/A,True,,
99,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
100,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
101,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
102,Louis C.K. 2017,2017,TV-MA,04 Apr 2017,74 min,Comedy,Louis C.K.,Louis C.K.,Louis C.K.,"Louis C.K. muses on religion, eternal love, giving dogs drugs, email fights, teachers, and more in a live performance from Washington D.C.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOGYwMmVlMWUtZDE2My00MzMyLTk5MTQtZDdmM2U5YWQwZjM1XkEyXkFqcGdeQXVyMjExNDAyOTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",N/A,7.6,"8,283",tt6736782,movie,04 Apr 2017,N/A,Netflix,N/A,True,,
103,Lavender,2016,Not Rated,03 Mar 2017,92 min,"Drama, Thriller",Ed Gass-Donnelly,"Colin Frizzell, Ed Gass-Donnelly","Abbie Cornish, Dermot Mulroney, Justin Long, Lola Flanery","After discovering old fractures in her skull, a photographer recovering from amnesia becomes increasingly haunted by a sinister childhood secret.",English,"Canada, USA",1 win.,https://m.media-amazon.com/images/M/MV5BOTFiYTBkOTEtM2IzNS00OGQyLThkYWItNDUyMGJmZTM1YzZjXkEyXkFqcGdeQXVyMTk3Mjk5NjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,5.3,"5,140",tt4680980,movie,03 Mar 2017,N/A,AMBI Media Group and Samuel Goldwyn Films,N/A,True,,
104,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
105,Born to Be Free,2016,N/A,18 Jul 2017,74 min,Documentary,Gayane Petrosyan,"Tatiana Beley, Gayane Petrosyan",Manos Krystalis,"Revelatory investigative film made by three intrepid, free-diving journalists Gaya, Tanya and Julia, about the global trade in wild sea mammals.","English, Russian","UK, Russia",N/A,https://m.media-amazon.com/images/M/MV5BNzUyZDJlMDItYTZhMi00ZDZhLThkZGUtYzg1MWVhY2JhZWFkXkEyXkFqcGdeQXVyMjk0MzA5Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,91,tt6619064,movie,N/A,N/A,N/A,N/A,True,,
106,Five Nights in Maine,2015,Unrated,05 Aug 2016,82 min,Drama,Maris Curran,Maris Curran,"David Oyelowo, Hani Furstenberg, Neal Lerner, Teyonah Parris","A young African American man, reeling from the tragic loss of his wife, travels to rural Maine to seek answers from his estranged mother-in-law, who is herself confronting guilt and grief over her daughter's death.",English,USA,2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjQ1NTAyMDc2MF5BMl5BanBnXkFtZTgwMjExNTYzOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,4.5,625,tt3352034,movie,05 Aug 2016,"$15,138",Loveless Entertainment,N/A,True,,
107,O Amor no Divã,2016,N/A,08 Dec 2016,N/A,Comedy,Alexandre Reinecke,Juliana Rosenthal K.,"Zezé Polessa, Daniel Dantas, Fernanda Paes Leme, Paulo Vilhena",A couples counseling therapist realizes she might need help with her own marriage after meeting a new pair of young clients.,Portuguese,Brazil,N/A,https://m.media-amazon.com/images/M/MV5BZTdmZGUxNDEtMDcwOS00OWNjLTkwNmQtZmVjY2U5YTAxNDA1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjk1MzY0NTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,105,tt5820146,movie,N/A,N/A,N/A,N/A,True,,
108,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
109,Mostly Sunny,2016,TV-MA,10 Jan 2017,83 min,Documentary,Dilip Mehta,"Deepa Mehta, Dilip Mehta, J. Craig Thompson","Sunny Leone, Daniel Weber, Sundeep Vohra, Kiran Bedi","Mostly Sunny is a documentary that tells the remarkable story of Sunny Leone, the Canadian-born, American-bred adult film star who is pursuing her dreams of Bollywood stardom.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BZWMzYWRmYzktMWZmMS00MWU2LTkyMmUtYTRhYWRlNGU2NzJjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDAxOTExNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",N/A,5.4,567,tt5935072,movie,N/A,N/A,Ballinran Entertainment,N/A,True,,
110,Thunderbolt,1947,Approved,26 Jul 1947,44 min,"Documentary, Short, History, War","John Sturges, William Wyler",Lester Koenig,James Stewart,"A WW2 documentary on the P-47 Thunderbolt fighter/bomber pilots in missions (Operation Strangle) from their base in Corsica to Northern Italy in 1944, destroying railroads, bridges, trains, vehicles and hard targets.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTg4MDE5M2UtNDU0NS00YWZiLWI5ZDYtNmUzZjdlMDY3NzQ3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,431,tt0038171,movie,N/A,N/A,N/A,N/A,True,,
111,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
112,Know Your Enemy - Japan,1945,Not Rated,09 Aug 1945,63 min,"Documentary, History, War","Frank Capra, Joris Ivens",N/A,"John Beal, Howard Duff, Walter Huston, Knox Manning",A comprehensive look at the war in the Pacific during World War II. Shot as a propaganda film by acclaimed Hollywood director Frank Capra,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTM5NDg3ODg3MV5BMl5BanBnXkFtZTYwNTY5OTk4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,568,tt0185405,movie,N/A,N/A,N/A,N/A,True,,
113,Let There Be Light,1946,Not Rated,16 Dec 1980,58 min,"Documentary, War",John Huston,John Huston,"Walter Huston, Benjamin Simon",A group of mentally traumatized veteran patients is followed as they go through psychiatric treatment.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BNzE0NzMzNDMzNF5BMl5BanBnXkFtZTgwNjY2NDkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",N/A,7.5,"1,388",tt0038687,movie,N/A,N/A,N/A,N/A,True,,
